"統計名：","住民基本台帳人口移動報告 年報（実数）　2020年～"
"表番号：","11"
"表題：","年齢（５歳階級）、男女別他市区町村からの転入者数、他市区町村への転出者数、転入超過数－全国、都道府県、市区町村（移動者、日本人移動者、外国人移動者）（2020年～）"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","/表章項目 コード","04","04","04","04","04","04","04","04","04","04"
"","","","","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","","","","/性別 コード","0","0","0","0","0","0","0","0","0","0"
"","","","","","","/性別","総数","総数","総数","総数","総数","総数","総数","総数","総数","総数"
"","","","","","","/年齢 コード","204","205","206","207","208","209","210","211","212","213"
"国籍 コード","国籍","時間軸（年次） コード","時間軸（年次）","地域 コード","地域","/年齢","15～19歳","20～24歳","25～29歳","30～34歳","35～39歳","40～44歳","45～49歳","50～54歳","55～59歳","60～64歳"
"60000","移動者","2022000000","2022年","11201","川越市","","235","289","-70","169","174","97","48","33","59","24"
"60000","移動者","2022000000","2022年","11228","志木市","","28","88","14","22","-5","-24","-41","-22","-12","-38"
"60000","移動者","2022000000","2022年","11235","富士見市","","59","338","121","109","25","61","29","10","-7","-49"
"60000","移動者","2022000000","2022年","11239","坂戸市","","66","-122","11","-18","10","3","19","7","15","9"
"60000","移動者","2022000000","2022年","11241","鶴ヶ島市","","60","44","76","47","-11","-2","25","48","-8","13"
"60000","移動者","2022000000","2022年","11245","ふじみ野市","","47","-120","100","121","83","38","20","11","-1","12"
"60000","移動者","2021000000","2021年","11201","川越市","","346","335","183","181","106","70","107","45","89","29"
"60000","移動者","2021000000","2021年","11228","志木市","","54","144","38","12","28","36","17","28","-2","-19"
"60000","移動者","2021000000","2021年","11235","富士見市","","55","243","126","129","70","-45","-25","7","20","1"
"60000","移動者","2021000000","2021年","11239","坂戸市","","77","-105","-132","-48","31","53","16","42","6","9"
"60000","移動者","2021000000","2021年","11241","鶴ヶ島市","","62","38","21","68","0","31","32","31","46","20"
"60000","移動者","2021000000","2021年","11245","ふじみ野市","","61","34","43","84","33","22","-38","-5","-21","16"
"60000","移動者","2020000000","2020年","11201","川越市","","301","302","150","13","-8","46","84","64","40","0"
"60000","移動者","2020000000","2020年","11228","志木市","","34","67","68","-27","3","-18","17","-21","-8","-14"
"60000","移動者","2020000000","2020年","11235","富士見市","","73","350","200","157","24","-25","-11","23","22","-2"
"60000","移動者","2020000000","2020年","11239","坂戸市","","25","-242","-108","-24","44","38","4","42","15","17"
"60000","移動者","2020000000","2020年","11241","鶴ヶ島市","","48","53","15","22","4","14","-5","5","8","-17"
"60000","移動者","2020000000","2020年","11245","ふじみ野市","","93","-44","99","52","75","16","32","-7","8","7"
