"統計名：","人口推計 平成26年10月1日現在人口推計"
"表番号：","003"
"表題：","年齢（５歳階級），男女別人口及び割合－総人口"
"実施年月：","2014年","10月"
"市区町村時点（年月日）：","-"

"","","","","","","","","/時間軸（年） コード","2014000000"
"男女別 コード","男女別","全国 コード","全国","人口・割合 コード","人口・割合","年齢5歳階級 コード","年齢5歳階級","/時間軸（年）","2014年"
"000","男女計","00000","全国","001","人口【千人】","01004","15～19歳","","6,005"
"000","男女計","00000","全国","001","人口【千人】","01005","20～24歳","","6,203"
"000","男女計","00000","全国","001","人口【千人】","01006","25～29歳","","6,678"
"000","男女計","00000","全国","001","人口【千人】","01007","30～34歳","","7,466"
"000","男女計","00000","全国","001","人口【千人】","01008","35～39歳","","8,670"
"000","男女計","00000","全国","001","人口【千人】","01009","40～44歳","","9,793"
"000","男女計","00000","全国","001","人口【千人】","01010","45～49歳","","8,608"
"000","男女計","00000","全国","001","人口【千人】","01011","50～54歳","","7,791"
"000","男女計","00000","全国","001","人口【千人】","01012","55～59歳","","7,654"
"000","男女計","00000","全国","001","人口【千人】","01013","60～64歳","","8,980"
